Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
ADCYAP1R1	ADCYAP1R1	0.01	0	0.01	0.02	0
CDA	CDA	0.02	0	0.02	0	0
FCHO1	FCHO1	1.48	1.26	1.14	0.11	0.09
ENSCSAG00000021153	NA	0	0	0	0	0
MITF	MITF	4.33	4.69	4.08	2.55	2.67
ENSCSAG00000023214	NA	0	0	0	0	0
RBSN	RBSN	5.28	5.34	4.62	1.37	1.55
EGFR	EGFR	2.92	3.35	2.8	1.85	1.73
ABCA5	ABCA5	0.69	0.69	0.6	0.12	0.08
ELOVL3	ELOVL3	0.09	0.07	0.02	0	0
FRMD5	FRMD5	0.53	0.6	0.45	0.19	0.13
KRT3	KRT3	0.29	0.2	0.16	0.02	0.02
MFNG	MFNG	1.1	1.47	1	0.81	0.81
MKKS	MKKS	8.08	7.49	6.7	1.42	1.69
VPS11	VPS11	2.89	2.79	2.61	0.74	0.92
SERPINB12	SERPINB12	0	0	0	0	0
ASIC3	ASIC3	0.11	0.1	0.1	0.07	0.06
ENSCSAG00000012472	BMI1	7.8	7.74	6.93	2.6	3
ENSCSAG00000023113	NA	0	0	0	0	0
ENSCSAG00000018371	GTPBP6	1.31	1.42	1.1	0.44	0.66
PARL	PARL	7.53	6.96	6.53	1.29	1.2
ENSCSAG00000026718	NA	0	0	0	0	0
ENSCSAG00000026379	NA	0	0	0	0	0
ENSCSAG00000026083	NA	0	0	0	0	0
RBM41	RBM41	2.52	2.7	2.67	0.43	0.71
ADRA1D	ADRA1D	0.09	0.03	0.04	0.05	0.02
C6orf52	C6orf52	0.25	0.21	0.39	0.07	0.24
ENSCSAG00000000128	CENPVL3	0	0	0	0	0
LIPH	LIPH	0.36	0.3	0.3	0.12	0.11
CMTM2	CMTM2	0	0	0.02	0	0
ENSCSAG00000009152	NA	0	0.04	0	0	0.1
OLFM1	OLFM1	0.06	0.06	0.04	0	0.01
KLHL30	KLHL30	1.83	2.06	1.8	0.54	0.46
ENSCSAG00000021385	NA	0	0	0	0	0
ZNF570	ZNF570	0.03	0.03	0.02	0	0.01
MEOX2	MEOX2	0.01	0	0	0	0
APLN	APLN	0	0	0	0	0
OR5AN1	OR5AN1	0	0	0	0	0
ENSCSAG00000009920	ANXA8	9.69	9.96	9.49	2.45	2.22
ENSCSAG00000024712	NA	0	0	0	0	0
KIZ	KIZ	1	0.84	1.07	0.16	0.2
ARX	ARX	0	0.02	0	0	0
DHRS7B	DHRS7B	4.91	4.55	4.09	1.41	1.36
MARK3	MARK3	5.5	5.45	4.81	1.62	2.01
ENSCSAG00000004855	H3-3B	340.98	325.71	306.52	98	103.07
ENSCSAG00000001897	LENG1	4.19	3.98	3.55	1.14	1.65
HTR2A	HTR2A	0.53	0.57	0.5	0.22	0.19
ENSCSAG00000023282	NA	0	0	0	0	0
MMS22L	MMS22L	8.41	8.66	7.29	1.47	1.46
CTC1	CTC1	2.55	2.59	2.23	0.65	0.7
RGL1	RGL1	37.98	35.8	31.51	10.15	9.78
SLC25A34	SLC25A34	0.08	0.04	0.04	0	0.05
TNFRSF10B	TNFRSF10B	15.61	16.2	14.75	27.04	26.93
ENSCSAG00000007503	GREB1	0.03	0.02	0.03	0	0.01
ENSCSAG00000025866	NA	0	0	0	0	0
NIP7	NIP7	7.01	7.49	7.03	2.42	2.44
MAN1A1	MAN1A1	0.65	0.62	0.59	0.08	0.12
ENSCSAG00000025700	NA	0	0	0	0	0
SNORA75	AC009533.2	0	0	0	0	0
LONRF2	LONRF2	0.44	0.25	0.33	0.12	0.11
GATD1	GATD1	16.75	16.89	15.04	3.57	3.8
RNASE9	RNASE9	0.03	0	0.03	0	0
NXPE4	NXPE4	0	0	0	0	0
SNORA1B	SNORA1B	0	0	0	0	0
SH3BP5	SH3BP5	5.95	5.96	5.58	3.11	3.06
CCT5	CCT5	29.05	28.81	25.72	7.64	8.37
ENSCSAG00000004828	NA	0	0	0	0	0
ENSCSAG00000019370	IFITM1	0	0	0	0	0
ALG3	ALG3	8.04	8.04	7	2.38	2.24
CHST14	CHST14	4.82	5.05	4.36	1.36	1.07
RGS18	RGS18	0	0	0	0	0
ENSCSAG00000000089	NA	0	0	0	0	0
ENSCSAG00000024775	NA	0	0	0	0	0
ENSCSAG00000024889	NA	0	0	0	0	0
ENSCSAG00000020061	NA	0	0	0	0	0
SI	SI	0	0	0	0	0
ITM2C	ITM2C	33.28	32.28	29.82	5.24	5.16
ENSCSAG00000026320	NA	0	0	0	0	0
HOXC8	HOXC8	0.54	0.65	0.52	0.19	0.15
ENSCSAG00000000957	NA	0.11	0.26	0.17	0.28	0
AP1G1	AP1G1	11.8	11.66	9.98	3.51	3.79
ENSCSAG00000027349	NA	0	0	0	0	0
TUFT1	TUFT1	8.69	8.76	8.45	7.65	8.03
THSD7A	THSD7A	0.01	0.02	0.01	0.01	0
SCAF8	SCAF8	5.32	5.28	4.26	1.88	2.2
ATPSCKMT	ATPSCKMT	0.9	1.06	1.01	0.17	0.23
ENSCSAG00000000498	RPL37	786.53	738.88	646.44	414.72	382.1
ENSCSAG00000021723	NA	0	0	0	0	0
ENSCSAG00000005906	AP002512.3	0	0	0	0	0.05
ATXN3L	ATXN3L	0.03	0.03	0.04	0	0.04
ENSCSAG00000007109	NA	0.06	0.23	0.1	0	0
SPSB4	SPSB4	0.85	0.7	0.68	0.24	0.2
MPP5	MPP5	8.35	8.46	7.19	2.11	2.28
ENSCSAG00000007746	NA	1.77	2.09	1.31	1.06	0.87
ENSCSAG00000020487	NA	0	0	0	0	0
ENSCSAG00000025386	AC113340.2	0	0	0	0	0
ENSCSAG00000004593	ZNF599	0.06	0.05	0.04	0	0
DHH	DHH	0	0.02	0.03	0	0
ENSCSAG00000007740	NA	0.04	0.04	0.02	0.03	0.02
ALPI	ALPI	0	0.01	0.01	0	0
MSRB3	MSRB3	7.44	7.09	6.71	0.8	1.32
C1QTNF7	C1QTNF7	0	0	0	0	0
ENSCSAG00000026758	NA	0	0	0	0	0
DECR2	DECR2	17.49	16.94	15.88	3.59	4.27
CAPZB	CAPZB	29.56	28.53	26.79	5.95	5.79
ENSCSAG00000007104	NA	0.21	0.23	0.15	0.06	0.08
F3	F3	1.71	1.55	1.36	0.7	0.74
AP3S1	AP3S1	31.34	30.61	29.13	4.71	5.66
ACSF2	ACSF2	3.11	2.94	2.6	0.64	0.53
CEP152	CEP152	1.71	1.69	1.51	0.58	0.52
PKP3	PKP3	12.58	12.23	11.8	3.6	3.62
MED13	MED13	12.52	13.58	10.98	4.73	5.18
ENSCSAG00000008277	NA	0	0	0.01	0	0
UBE2Q1	UBE2Q1	12.05	11.51	10.67	3.49	3.61
CDC42EP5	CDC42EP5	0	0.18	0.15	0	0
SH2D3A	SH2D3A	0.13	0.24	0.14	0	0.1
ENSCSAG00000020306	NA	0	0	0	0	0
ENSCSAG00000018855	RPF1	8.07	8.21	7.22	2.2	1.75
MND1	MND1	5.62	5.94	5.14	1.65	1.37
AKAP11	AKAP11	6.02	6.17	5.19	1.12	1.4
CCR7	CCR7	0.08	0.05	0.05	0.01	0
MIR922	MIR922	0	0	0	0	0
ENSCSAG00000022846	NA	0	0	0	0	0
HAO1	HAO1	0	0	0	0	0
WDR81	WDR81	4.67	4.82	4.28	1.36	1.33
ENSCSAG00000023849	NA	0	0	0	0	0
HPCAL4	HPCAL4	1.52	1.37	1.33	0.34	0.35
BGLAP	BGLAP	1.87	1.13	1.47	0.82	0.38
ENSCSAG00000023495	NA	0	0	0	0	0
PTPDC1	PTPDC1	0	0	0	0	0
NAA15	NAA15	12.47	12.53	11.15	4.3	5.01
VAMP4	VAMP4	1.36	1.12	1.1	0.3	0.29
GLG1	GLG1	14.32	14.28	12.25	2.44	2.29
FAM107B	FAM107B	41.03	38.62	33.85	4.43	4.93
VMO1	VMO1	0	0.02	0.02	0	0
ENSCSAG00000014428	NA	0	0	0	0	0
ENSCSAG00000008989	NA	0	0	0	0	0
ENSCSAG00000025805	NA	0	0	0	0	0
MIR525	MIR525	0	0	0	0	0
ZNF280B	ZNF280B	1.66	2	1.5	0.7	0.67
ENSCSAG00000027713	AC007240.1	0	0	0	0	0
WDTC1	WDTC1	9.6	9.32	8.31	2.13	1.92
ENSCSAG00000019053	NA	0	0	0	0	0
MUC5B	MUC5B	0	0	0	0	0
CDH6	CDH6	42.99	37.33	33.38	6.69	6.33
FILIP1L	FILIP1L	0.82	0.78	0.62	0.38	0.45
CCL5	CCL5	0.1	0.18	0.06	1.9	1.7
RHPN1	RHPN1	7	6.48	6.25	1.47	1.32
ENSCSAG00000014468	C5orf63	2.15	1.94	1.53	0.48	0.32
PEX1	PEX1	3.37	3.47	2.98	0.97	0.91
ENSCSAG00000010267	MUC2	0	0	0	0	0
OR2AJ1	OR2AJ1	0	0	0	0	0
SP8	SP8	0.01	0.02	0	0	0.02
FPGS	FPGS	9.11	9.11	8.49	3.29	2.68
MAP2K1	MAP2K1	14.2	14.29	13.39	4.53	4.53
ENSCSAG00000020207	NA	0	0	0	0	0
ENSCSAG00000012474	NA	17.86	16.56	15.04	3.08	3.67
ENSCSAG00000024822	NA	0	0	0	0	0
ORAI2	ORAI2	22.56	22.53	21.33	8.08	8.82
ENSCSAG00000023399	NA	0	0	0	0	0
USP35	USP35	1.68	1.68	1.58	0.51	0.51
AWAT2	AWAT2	0	0	0	0	0
ATP12A	ATP12A	0.03	0.01	0.01	0.02	0
NFATC1	NFATC1	2.7	2.78	2.28	0.92	0.89
STARD8	STARD8	5.35	5.2	4.9	1.58	1.11
ZC3H6	ZC3H6	2.69	2.51	2.43	0.73	0.57
BACH1	BACH1	4.76	4.86	4.33	1.26	1.51
ENSCSAG00000009656	NA	32.33	30.5	29.62	13.13	11.23
SRSF12	SRSF12	2.22	2.13	1.66	0.37	0.4
CTNNA2	CTNNA2	0.03	0.06	0.05	0.01	0
MIR219A2	MIR219A2	0	0	0	0	0
TBC1D7	TBC1D7	2.11	2.05	1.84	0.44	0.51
MED16	MED16	8.46	8.56	7.9	2.82	2.85
ENSCSAG00000025707	NA	0	0	0	0	0
KIF15	KIF15	3.26	3.18	2.78	0.55	0.69
PNLIPRP3	PNLIPRP3	0	0	0	0	0
ARFGEF2	ARFGEF2	7.12	7.29	6.08	2.31	2.35
ENSCSAG00000002166	AC020909.1	0.68	0.66	0.53	0.25	0.23
MAN1A2	MAN1A2	12.08	11.67	10.03	2.88	2.69
CLDN16	CLDN16	0.35	0.33	0.32	0.1	0.11
LRAT	LRAT	0.12	0.19	0.07	0	0
USP9X	USP9X	17.91	18.92	15.69	5.56	5.59
ZBTB10	ZBTB10	9.97	9.83	8.42	4.97	5.59
ENSCSAG00000004577	NA	7.9	8.26	7.32	1.51	1.81
CYP4B1	CYP4B1	0.07	0.1	0.05	0.01	0
CAP1	CAP1	29.08	28.89	26.12	5.36	5.52
PPARG	PPARG	19.09	20.2	18.89	11.44	12.74
ZNF131	ZNF131	3.29	3.04	2.62	1.65	1.84
ENSCSAG00000012083	NA	0.09	0.07	0.08	0.09	0.04
SGCG	SGCG	0.02	0.03	0.03	0.01	0.01
ENSCSAG00000026201	NA	0	0	0	0	0
RAP2C	RAP2C	8.53	8.31	7.17	1.83	1.89
ENSCSAG00000023333	AL158825.3	0	0	0	0	0
ENSCSAG00000019989	NA	0	0	0	0	0
DSG1	DSG1	0	0	0	0	0
ARPC1B	ARPC1B	126.43	121.87	114.67	33.45	33.37
OR2F1	OR2F1	0	0.07	0.1	0.05	0
ENSCSAG00000008901	NA	17.8	17.91	15.65	3.56	3.49
CDKN2C	CDKN2C	7.1	8.06	6.63	2.36	1.81
MYOC	MYOC	0.02	0.01	0	0.04	0
IKZF1	IKZF1	0.01	0	0	0	0.02
LEP	LEP	0	0	0	0	0
ENSCSAG00000025161	NA	0	0	0	0	0
PFN1	PFN1	638.84	654.54	605.82	126.86	129.24
SUOX	SUOX	4.47	4.77	3.46	0.65	0.64
EIF5B	EIF5B	26.27	25.2	22.79	6.2	7.03
ADAMTS13	ADAMTS13	1.01	0.92	0.78	0.19	0.24
ENSCSAG00000022611	AC026410.4	0	0	0	0	0
ENSCSAG00000008944	NA	0	0	0	0	0
KCTD13	KCTD13	0.75	0.67	0.62	0.3	0.32
ENSCSAG00000026700	NA	0	0	0	0	0
LYL1	LYL1	0.02	0.02	0.05	0	0
SMIM24	SMIM24	0.35	0.41	0.28	0	0.03
ADGB	ADGB	0	0	0	0.01	0
ENSCSAG00000009827	GLUD2	53.32	52.48	47.86	12.73	13.84
ENSCSAG00000000412	CSTB	0	0	0	0	0
ARAP1	ARAP1	11.87	12.3	10.76	2.87	2.62
ENSCSAG00000019423	GEMIN8	3.05	2.33	2.26	0.71	1.11
ENSCSAG00000006894	SMARCA4	24.05	25.34	21.84	7.04	6.35
ENSCSAG00000026806	NA	0	0	0	0	0
CREB3	CREB3	16.29	17.1	15.79	4.58	4.52
AMD1	AMD1	10.38	9.97	9.04	2.54	2.78
ENSCSAG00000026668	NA	0	0	0	0	0
SNORD114-27	SNORD114-27	0	0	0	0	0
MRPS31	MRPS31	6.04	5.08	4.79	1.33	0.86
NAA25	NAA25	4.05	4.27	3.68	1.31	1.55
POLR2M	POLR2M	5.35	5.11	4.57	0.99	1.16
CYP11A1	CYP11A1	0.32	0.39	0.21	0.12	0.08
FUOM	FUOM	4.14	4.26	3.95	1.44	1.07
TRPV5	TRPV5	0.01	0.01	0.04	0	0
ENSCSAG00000024566	NA	0	0	0	0	0
MAGEE2	MAGEE2	0.02	0	0	0.03	0
ENSCSAG00000018763	NA	0.05	0.04	0.05	0	0.13
FAM3B	FAM3B	0.01	0.02	0.02	0	0
ENSCSAG00000024043	NA	0	0	0	0	0
NDUFA2	NDUFA2	47.75	43.13	40.46	7.14	8.32
ENSCSAG00000000529	MAGEA2	0.02	0	0	0	0
ENSCSAG00000020259	NA	0	0	0	0	0
SPIN1	SPIN1	16.65	15.39	14.1	3.85	3.76
KLF10	KLF10	12.29	12.24	10.45	10.75	11.22
ATP6V0A2	ATP6V0A2	3.06	3.03	2.88	0.79	0.89
ENSCSAG00000027229	NA	0	0	0	0	0
KCTD6	KCTD6	0.52	0.61	0.5	0.2	0.21
ENSCSAG00000027834	NA	0	0	0	0	0
RHOQ	RHOQ	17.96	16.12	15.14	5.56	5.04
ENSCSAG00000027365	NA	0	0	0	0	0
APEX2	APEX2	5.04	5.54	4.95	1.11	1.48
CMTM5	CMTM5	0	0	0	0	0
OGFOD2	OGFOD2	4.57	4.73	3.91	0.98	0.74
SFXN3	SFXN3	12.14	11.46	10.39	2	2.01
ENSCSAG00000001674	ZSCAN5A	0.01	0	0.01	0	0
MACF1	MACF1	8.73	10.73	8.25	3.48	3.37
ACMSD	ACMSD	0	0	0	0	0
PDIA6	PDIA6	172.87	162.6	146.02	26.3	28.03
STK17A	STK17A	3.23	3.56	2.98	0.75	0.74
MYCN	MYCN	0.55	0.55	0.49	0.21	0.06
CARD19	CARD19	6.67	7.29	6.04	1.78	1.48
SLC43A2	SLC43A2	6.43	6.3	5.7	1.83	1.55
CENPO	CENPO	2.93	2.89	2.55	0.82	0.86
CCHCR1	CCHCR1	10	9.91	9.14	2.23	2.32
SLC9A2	SLC9A2	0.28	0.29	0.25	0.18	0.15
QARS1	QARS1	47.26	45.85	40.79	12.31	12.04
SNRNP48	SNRNP48	3.03	2.6	2.5	0.9	1.26
ALAS2	ALAS2	0	0	0	0	0
FBXL20	FBXL20	10.74	10.15	9.22	2.01	2.27
ENSCSAG00000021928	NA	0	0	0	0	0
ZNF70	ZNF70	2.19	2.71	2.51	0.76	1.1
KISS1R	KISS1R	2.6	2.28	1.88	0.55	0.5
FRAT1	FRAT1	1.66	1.7	1.46	0.46	0.42
CIDEA	CIDEA	0.06	0.09	0.06	0.01	0.03
ENSCSAG00000027227	NA	0	0	0	0	0
LONP1	LONP1	32.04	32.01	30.09	9.33	8.94
LTBR	LTBR	10.99	10.76	9.55	3.15	3.95
DDX24	DDX24	20.83	21.01	18.07	6.29	6.84
MIR517A	MIR517A	0	0	0	0	0
ENSCSAG00000008783	MAGOHB	0	0.08	0	0	0
HOXD11	HOXD11	0.03	0.03	0.01	0	0
ENSCSAG00000007502	HIVEP1	1.37	1.38	1.21	1.25	1.42
PLD4	PLD4	0.02	0	0.01	0.04	0
CCDC149	CCDC149	0.83	0.74	0.7	0.28	0.19
ENSCSAG00000007384	NA	0	0	0	0	0
IMPDH2	IMPDH2	17.1	16.38	14.98	4.16	4.08
BROX	BROX	7.44	7.24	6.33	1.27	1.52
ENSCSAG00000026270	NA	0	0	0	0	0
ENSCSAG00000026246	NA	0	0	0	0	0
EIF4A2	EIF4A2	59.94	56.05	49.23	16.47	17.27
VSTM2L	VSTM2L	0	0	0	0	0
ENSCSAG00000019889	NA	0	0	0	0	0
ENSCSAG00000027728	NA	0	0	0	0	0
MTRR	MTRR	9.07	8.58	7.91	2.16	2.35
ADRA2C	ADRA2C	0.88	0.73	0.84	0.21	0.25
SHMT2	SHMT2	15.62	15.52	15.17	3.88	4.2
ENSCSAG00000024749	NA	0	0	0	0	0
MRPL12	MRPL12	69.45	70.22	67.13	21.01	23.31
ERCC4	ERCC4	1.96	2.15	1.71	0.74	0.71
ENSCSAG00000021055	NA	0	0	0	0	0
SYT12	SYT12	4.67	4.47	4.38	1.54	1.41
DCUN1D3	DCUN1D3	4.51	5.06	3.91	2.86	3.28
C17orf78	C17orf78	0.02	0.01	0.01	0	0
HSPB9	HSPB9	0.29	0.28	0.09	0.15	0
IRF4	IRF4	0.05	0.07	0.02	0	0
TYROBP	TYROBP	0	0	0	0	0
DPH1	DPH1	3.64	3.69	3.39	1.58	1.47
ENSCSAG00000013649	VDAC1	28.07	27.15	24.23	7.24	6.88
RNF17	RNF17	0	0	0	0	0
CSK	CSK	18.44	19.18	17.11	6.68	6.33
MIR16-2	MIR16-2	0	0	0	0	0
TBCEL	TBCEL	1.58	1.92	1.69	0.75	0.69
SLC23A1	SLC23A1	2.29	2.37	2.27	0.88	0.73
SNORD114-9	SNORD114-9	0	0	0	0	0
ABRAXAS1	ABRAXAS1	4.63	4.7	4.12	0.94	1.09
ENSCSAG00000016785	SELENOP	0	0	0	0	0
ENSCSAG00000017218	AC079447.1	45.49	41.68	38.44	12.29	11.79
STK19	STK19	1.98	1.93	1.77	0.71	0.8
HFM1	HFM1	1.14	1.11	0.75	0.37	0.3
DNER	DNER	21.43	20.08	18.81	3.04	3.04
COL6A2	COL6A2	67.24	66.57	59.45	15.72	14.54
ENSCSAG00000006675	NA	0.35	0.33	0.28	0.33	0.15
VEPH1	VEPH1	0.66	0.63	0.47	0.19	0.16
ENSCSAG00000012415	NA	0	0	0	0.52	0
GRXCR2	GRXCR2	0	0	0	0	0
PTOV1	PTOV1	48.11	46.49	42.04	11.97	12.44
MID1IP1	MID1IP1	5.31	6.63	5.21	2.26	2.67
ENSCSAG00000011780	NA	0.39	0.18	0.2	0	0.15
ZNF582	ZNF582	0.34	0.54	0.41	0.19	0.05
DPYS	DPYS	0	0	0	0	0
PJA1	PJA1	1.99	1.86	1.79	0.31	0.3
ENSCSAG00000008798	ISY1-RAB43	13.84	13.2	12.07	3.32	3.41
ENSCSAG00000019634	NA	0	0	0	0	0
ENSCSAG00000025260	AL138834.1	0	0	0	0	0
IRF2BPL	IRF2BPL	11.77	11.62	11.42	4.98	5.02
ZCCHC13	ZCCHC13	0	0	0	0	0
SRA1	SRA1	9.24	9.76	8.54	2.7	2.61
PLPPR5	PLPPR5	6.5	5.43	4.91	1.07	0.83
ENSCSAG00000026281	NA	0	0	0	0	0
ADGRA3	ADGRA3	4.54	4.44	4.1	0.96	1.22
SERPINB1	SERPINB1	6.43	6.01	5.38	1.18	1.06
SELENOW	SELENOW	42.64	41.47	38.94	8.35	8.88
OR2A25	OR2A25	0.08	0.07	0	0.15	0
ZNF551	ZNF551	0.51	0.59	0.45	0.22	0.21
ATP6V0A4	ATP6V0A4	3.98	4.28	3.99	0.78	0.7
LRRC56	LRRC56	1.66	1.58	1.51	0.43	0.62
KDM2B	KDM2B	2.34	2.44	2.09	0.81	0.7
ENSCSAG00000018742	NA	69.14	53.78	60.56	11.35	6.23
ENSCSAG00000011354	NA	0	0	0	0	0
ENSCSAG00000018364	NA	0	0	0	0	0
TTC9C	TTC9C	4.99	5.06	4.45	0.91	1.11
ENSCSAG00000013233	NA	45.21	45.25	38.91	9	10.18
ENSCSAG00000027626	SNORD38B	0	0	0	0	0
BANF1	BANF1	157.62	156.87	149.56	28.64	30.73
ANAPC1	ANAPC1	10.94	11.66	9.85	3.25	3.13
FGF13	FGF13	3.75	4.31	3.92	1.01	0.8
FER	FER	4.6	4.47	3.88	1.49	1.36
RELL1	RELL1	1.71	1.96	1.59	0.55	0.5
ENSCSAG00000020550	NA	0	0	0	0	0
FADS1	FADS1	35.18	33.23	29.83	7.92	8
ENSCSAG00000022075	NA	0	0	0	0	0
TMEM86A	TMEM86A	4.78	4.06	4.15	1.25	0.88
CIB3	CIB3	0.14	0.3	0.14	0	0
IREB2	IREB2	11.01	10.53	9.01	3.06	3.43
SPOCK2	SPOCK2	0.2	0.2	0.18	0.08	0.08
ENSCSAG00000005015	AC117378.1	3.02	2.6	2.41	0.67	0.58
THBD	THBD	0	0	0.01	0.02	0
ENSCSAG00000013091	NA	14.24	13.92	12.71	3.41	3.75
REX1BD	REX1BD	28.36	28.83	27.29	5.38	7.07
CDK5RAP1	CDK5RAP1	4.8	4.81	4.43	1.98	1.8
MIR665	MIR665	0	0	0	0	0
ENSCSAG00000019945	NA	0	0	0	0	0
ENSCSAG00000022652	MIR548AQ	0	0	0	0	0
VDAC3	VDAC3	24.84	24.34	22.54	4.51	5.08
BEND6	BEND6	0.82	0.73	0.58	0.09	0.1
DAG1	DAG1	33.02	34.56	30.51	7.41	7.58
TTF1	TTF1	5.06	4.96	4.54	1.58	1.78
RAB40B	RAB40B	5.46	6.04	5.43	1.32	1.11
MIR374B	MIR374B	0	0	0	0	0
TG	TG	0.29	0.26	0.26	0.11	0.11
ENSCSAG00000001690	NA	0.34	0.16	0.26	0	0
C1orf109	C1orf109	1.6	1.57	1.42	0.66	0.64
ENSCSAG00000000842	ZBTB17	3.04	3.21	2.46	2	2.04
LRRCC1	LRRCC1	2.56	2.28	2.02	0.49	0.67
RARS1	RARS1	18.72	19.54	16.78	4.38	5
SOS1	SOS1	9.32	9.64	7.78	2.61	2.46
UBTD2	UBTD2	13.13	12.87	11.34	2.72	4.1
EXOC1	EXOC1	2.04	2.16	1.81	0.59	0.6
ENSCSAG00000024593	NA	0	0	0	0	0
ENSCSAG00000000367	GDPGP1	3.47	3.01	3	1.21	0.83
ENSCSAG00000018739	NA	0.31	0.12	0.16	0	0.12
ENSCSAG00000013835	IGLV1-40	0	0	0	0	0
TERB1	TERB1	0.42	0.49	0.43	0.1	0.17
GTPBP2	GTPBP2	9.93	11.54	9.39	3.83	3.62
COPS3	COPS3	5.12	5.36	4.71	1.92	1.88
ENSCSAG00000023840	NA	0	0	0	0	0
SNORD114-28	SNORD114-28	0	0	0	0	0
NPM3	NPM3	33.19	34.41	31.3	8.31	7.85
ENSCSAG00000022736	NA	0	0	0	0	0
GAB3	GAB3	0.02	0.01	0.02	0.01	0
ENSCSAG00000008685	NA	0	0	0	0	0
FAM136A	FAM136A	21.71	20.84	18.65	4.86	4.55
KLHL40	KLHL40	0	0	0	0	0
ENSCSAG00000018796	NA	0.03	0.04	0.03	0.05	0.03
BRDT	BRDT	0.01	0	0	0	0
ENSCSAG00000022327	NA	0	0	0	0	0
DTX4	DTX4	0.46	0.45	0.35	0.06	0.11
KDM6B	KDM6B	6	6.75	5.91	4.61	4.34
CUTC	CUTC	1.12	1.25	1.08	0.35	0.35
ARL4D	ARL4D	0	0.03	0	0	0
GIPC1	GIPC1	40.93	41.41	39.87	10.83	10.76
ENSCSAG00000009270	NA	0.51	0.31	0.5	0.07	0.06
ENSCSAG00000021006	NA	0	0	0	0	0
SEC14L2	SEC14L2	4.04	3.78	3.61	0.84	0.93
ENSCSAG00000025341	NA	0	0	0	0	0
ENSCSAG00000013738	NA	0	0	0	0	0.09
BMP1	BMP1	6.68	6.35	5.59	1.22	1.15
ENSCSAG00000021038	NA	0	0	0	0	0
IL10	IL10	0	0	0	0	0
DHDDS	DHDDS	5.34	5.4	4.46	1.67	1.24
ENSCSAG00000027700	NA	0	0	0	0	0
JADE2	JADE2	9.69	9.85	8.66	2.45	2.2
ENSCSAG00000010083	NA	35.04	33.2	33.6	8.69	7.78
IPO8	IPO8	9.73	9.2	8.2	1.62	1.75
MPPED2	MPPED2	0.01	0.02	0.02	0.01	0.01
TAF12	TAF12	9.34	8.59	7.68	1.76	1.8
ENSCSAG00000014154	DMD	0.02	0.02	0.03	0	0
DCUN1D4	DCUN1D4	4.51	4.49	3.64	0.89	0.92
ENSCSAG00000027755	NA	0	0	0	0	0
ENSCSAG00000021976	NA	0	0	0	0	0
TLK2	TLK2	7.02	7.17	6.24	2.97	2.97
ENSCSAG00000000336	NA	0	0	0	0	0
GZMK	GZMK	0	0	0	0	0
PPP1R12C	PPP1R12C	10.16	9.89	8.87	3.8	3.58
RCC1L	RCC1L	25.97	26.11	25.03	6.22	5.46
DMRTC2	DMRTC2	0	0	0	0	0
PADI6	PADI6	0	0	0	0	0
STARD5	STARD5	1.4	1.48	1.36	0.07	0.34
LCK	LCK	0	0	0	0	0
NOG	NOG	0.06	0.11	0.15	0.15	0.14
ENSCSAG00000000388	TRMT112	0	0.09	0	0	0
NDUFA8	NDUFA8	46.11	46.23	42.85	8.24	8.03
ENSCSAG00000024856	NA	0	0	0	0	0
ENSCSAG00000001245	CYP4A11	0	0	0	0	0
ENSCSAG00000005575	NA	0	0	0	0	0
CD86	CD86	0.05	0.03	0.03	0.01	0
JKAMP	JKAMP	6.67	6.46	5.81	1.12	1.47
FAM221A	FAM221A	0.7	0.89	0.85	0.35	0.18
ENSCSAG00000025970	NA	0	0	0	0	0
CHD8	CHD8	17.48	19.01	16	6.05	6.11
PGBD5	PGBD5	0.02	0.03	0.02	0	0
ENSCSAG00000023112	NA	0	0	0	0	0
ENSCSAG00000024795	AC142283.1	0	0	0	0	0
ENSCSAG00000017280	NA	192.73	178.87	164.12	55.38	61.05
ENSCSAG00000023405	AC092814.1	0	0	0	0	0
ENSCSAG00000026055	NA	0	0	0	0	0
ACER2	ACER2	1	0.96	0.97	0.53	0.47
ENSCSAG00000018188	NA	0	0	0	0	0
SEMA3D	SEMA3D	0.02	0.01	0.01	0	0.01
KRTAP22-2	KRTAP22-2	0	0	0	0	0
ENSCSAG00000020717	NA	0	0	0	0	0
ENSCSAG00000009747	NA	0	0	0	0	0
ENPEP	ENPEP	0	0	0	0	0
ENSCSAG00000022951	NA	0	0	0	0	0
LCP1	LCP1	0.18	0.14	0.23	0.01	0.01
MADCAM1	MADCAM1	0.04	0.05	0.06	0	0
OR10X1	OR10X1	0	0	0	0	0
ENSCSAG00000022634	NA	0	0	0	0	0
ENSCSAG00000018367	NA	0	0	0	0	0
ENSCSAG00000004945	ZNF729	0	0	0	0	0
ENSCSAG00000024911	AC010746.1	0	0	0	0	0
DYNC1H1	DYNC1H1	20.16	25.82	18.34	6.83	6.23
CHIT1	CHIT1	0.01	0	0	0	0
IKBKG	IKBKG	10.43	10.46	9.68	2.97	2.69
HOXB3	HOXB3	0.79	1.09	0.75	0.07	0.42
TAF3	TAF3	2.51	2.65	2.26	0.75	0.85
KDF1	KDF1	0.1	0.11	0.06	0.01	0.06
