gene	logFC	p_val	pval_adj	cell
MS4A8	1.88	0	0	Ciliated
CCDC78	1.88	0	0	Ciliated
CFAP126	1.87	0	0	Ciliated
DYNLL1	1.84	0	0	Ciliated
FAM92B	1.83	0	0	Ciliated
CCDC146	1.81	0	0	Ciliated
CCDC170	1.81	0	0	Ciliated
PSENEN	1.8	0	0	Ciliated
TUBA1A	1.78	0	0	Ciliated
TSPAN1	1.78	0	0	Ciliated
MORN5	1.76	0	0	Ciliated
ROPN1L	1.74	0	0	Ciliated
TUBB4B	1.69	0	0	Ciliated
C9orf135	1.69	0	0	Ciliated
FABP6	1.67	0	0	Ciliated
WDR54	1.67	0	0	Ciliated
FAM229B	1.66	0	0	Ciliated
DNAH5	1.66	0	0	Ciliated
CDHR3	1.66	0	0	Ciliated
TSPAN19	1.66	0	0	Ciliated
EFHC1	1.66	0	0	Ciliated
FOXJ1	1.64	0	0	Ciliated
LRRC23	1.61	0	0	Ciliated
RSPH9	1.61	0	0	Ciliated
HSP90AA1	1.6	0	0	Ciliated
ERICH3	1.57	0	0	Ciliated
TCTEX1D2	1.57	0	0	Ciliated
TEKT1	1.56	0	0	Ciliated
MRPS31	1.56	0	0	Ciliated
CIB1	1.56	0	0	Ciliated
FAM216B	1.56	0	0	Ciliated
CALM1	1.54	0	0	Ciliated
WDR38	1.54	0	0	Ciliated
EFCAB1	1.52	0	0	Ciliated
CFAP53	1.5	0	0	Ciliated
IK	1.49	0	0	Ciliated
SPAG6	1.49	0	0	Ciliated
LRRC46	1.49	0	0	Ciliated
DNALI1	1.49	0	0	Ciliated
DNAH12	1.48	0	0	Ciliated
CCDC17	1.46	0	0	Ciliated
SMIM22	1.46	0	0	Ciliated
SLC44A4	1.46	0	0	Ciliated
FAM81B	1.45	0	0	Ciliated
CFAP43	1.45	0	0	Ciliated
PRDX5	1.44	0	0	Ciliated
C11orf97	1.44	0	0	Ciliated
CCDC42B	1.42	0	0	Ciliated
KIF9	1.41	0	0	Ciliated
LDLRAD1	1.4	0	0	Ciliated
SPA17	1.4	0	0	Ciliated
CCDC173	1.39	0	0	Ciliated
UFC1	1.38	0	0	Ciliated
WDR86-AS1	1.37	0	0	Ciliated
TUBA4B	1.37	0	0	Ciliated
SPAG17	1.36	0	0	Ciliated
IFT27	1.36	0	0	Ciliated
SPATA18	1.36	0	0	Ciliated
NME5	1.36	0	0	Ciliated
DPCD	1.35	0	0	Ciliated
CD164L2	1.34	0	0	Ciliated
C21orf59	1.32	0	0	Ciliated
ATPIF1	1.31	0	0	Ciliated
CEP126	1.31	0	0	Ciliated
DYNC2H1	1.31	0	0	Ciliated
POLR2I	1.31	0	0	Ciliated
C11orf70	1.3	0	0	Ciliated
CCDC153	1.3	0	0	Ciliated
TEKT2	1.29	0	0	Ciliated
CATSPERD	1.29	0	0	Ciliated
MLF1	1.29	0	0	Ciliated
PPIL6	1.28	0	0	Ciliated
FAM166B	1.28	0	0	Ciliated
C6orf118	1.27	0	0	Ciliated
CCDC74A	1.26	0	0	Ciliated
NUDC	1.26	0	0	Ciliated
STK33	1.26	0	0	Ciliated
MNS1	1.26	0	0	Ciliated
IQCG	1.25	0	0	Ciliated
CCDC181	1.25	0	0	Ciliated
OSCP1	1.24	0	0	Ciliated
RSPH4A	1.24	0	0	Ciliated
PRR29	1.24	0	0	Ciliated
SPEF1	1.24	0	0	Ciliated
FAM174A	1.23	0	0	Ciliated
ARMC3	1.23	0	0	Ciliated
DYDC2	1.23	0	0	Ciliated
CCDC39	1.22	0	0	Ciliated
DYNLT1	1.22	0	0	Ciliated
WDR78	1.22	0	0	Ciliated
CTXN1	1.21	0	0	Ciliated
SAXO2	1.21	0	0	Ciliated
SRI	1.21	0	0	Ciliated
MAPK15	1.19	0	0	Ciliated
CCDC113	1.19	0	0	Ciliated
CFAP52	1.19	0	0	Ciliated
HSBP1	1.18	0	0	Ciliated
TMEM231	1.18	0	0	Ciliated
DNAAF1	1.17	0	0	Ciliated
RIIAD1	1.16	0	0	Ciliated
FAM227A	1.15	0	0	Ciliated
PACRG	1.14	0	0	Ciliated
CFAP45	1.13	0	0	Ciliated
ENKUR	1.13	0	0	Ciliated
DNAH7	1.12	0	0	Ciliated
LRRC48	1.11	0	0	Ciliated
CD59	1.1	0	0	Ciliated
UBXN10	1.1	0	0	Ciliated
DAW1	1.09	0	0	Ciliated
C10orf107	1.06	0	0	Ciliated
DRC1	1.05	0	0	Ciliated
GPR162	1.05	0	0	Ciliated
DNAI2	1.03	0	0	Ciliated
DCDC2B	1.03	0	0	Ciliated
HYDIN	1.02	0	0	Ciliated
UBXN11	1.19	0	0	Ciliated
EFCAB10	1.01	0	0	Ciliated
CCDC176	1.15	0	0	Ciliated
ZBBX	1.03	0	0	Ciliated
DNAH6	1.12	0	0	Ciliated
ANKRD66	1.09	0	0	Ciliated
CTSS	1.22	0	0	Ciliated
SPEF2	1.08	0	0	Ciliated
CDS1	1.23	0	0	Ciliated
TAX1BP1	1.1	0	2.81E-307	Ciliated
DNAAF3	1.03	0	5.19E-307	Ciliated
SPAG8	1.05	0	4.17E-304	Ciliated
MAATS1	0.99	2.37E-308	6.28E-304	Ciliated
FAM65B	1.23	5.25E-307	1.39E-302	Ciliated
B9D1	1.17	5.33E-307	1.41E-302	Ciliated
AKAP14	1.1	5.45E-307	1.44E-302	Ciliated
STMND1	1.05	8.41E-307	2.23E-302	Ciliated
CCDC65	1	1.04E-306	2.76E-302	Ciliated
SPAG16	1.23	8.32E-306	2.20E-301	Ciliated
STOML3	1.03	8.79E-306	2.33E-301	Ciliated
DNPH1	1.16	1.44E-305	3.82E-301	Ciliated
RGS22	1	7.72E-305	2.05E-300	Ciliated
DZIP3	1.12	1.65E-304	4.38E-300	Ciliated
VWA3B	0.98	1.16E-303	3.07E-299	Ciliated
IFT22	1.22	2.78E-303	7.36E-299	Ciliated
C14orf142	1.19	3.44E-303	9.11E-299	Ciliated
TMC5	1.42	8.86E-303	2.35E-298	Ciliated
C6orf165	0.97	5.19E-302	1.37E-297	Ciliated
C6	0.95	5.58E-299	1.48E-294	Ciliated
C22orf15	1.04	5.69E-299	1.51E-294	Ciliated
TNFAIP8L1	1.05	1.76E-298	4.66E-294	Ciliated
VSTM2L	1.18	3.30E-298	8.74E-294	Ciliated
SSBP4	1.17	1.27E-295	3.36E-291	Ciliated
CES1	1.72	1.83E-295	4.83E-291	Ciliated
DNAH11	1.01	1.84E-295	4.88E-291	Ciliated
CCDC74B	0.94	9.19E-295	2.44E-290	Ciliated
TTC25	0.99	4.06E-293	1.07E-288	Ciliated
C21orf58	1.09	1.33E-291	3.52E-287	Ciliated
KCTD12	1.15	5.43E-290	1.44E-285	Ciliated
HSPB11	1.28	1.71E-289	4.53E-285	Ciliated
SCGB2A1	1.42	5.67E-289	1.50E-284	Ciliated
MAP1B	1.07	3.72E-288	9.84E-284	Ciliated
LRTOMT	1	7.54E-288	2.00E-283	Ciliated
NQO1	1.39	7.77E-287	2.06E-282	Ciliated
C9orf171	0.91	5.74E-286	1.52E-281	Ciliated
DTHD1	0.94	1.77E-285	4.70E-281	Ciliated
C9orf117	0.9	3.00E-285	7.93E-281	Ciliated
FANK1	0.98	8.44E-284	2.23E-279	Ciliated
IGFBP7	1.59	2.43E-283	6.45E-279	Ciliated
WRB	1.14	2.37E-282	6.27E-278	Ciliated
LRRC10B	0.93	2.32E-281	6.14E-277	Ciliated
TCTEX1D1	0.89	3.92E-281	1.04E-276	Ciliated
P4HTM	1.13	8.02E-281	2.12E-276	Ciliated
LRRC6	0.97	2.95E-279	7.80E-275	Ciliated
COPRS	1.14	5.35E-279	1.42E-274	Ciliated
FHAD1	0.95	1.08E-275	2.86E-271	Ciliated
RUVBL2	1.16	1.44E-275	3.82E-271	Ciliated
CCDC114	0.88	1.42E-273	3.76E-269	Ciliated
DNAI1	0.89	2.34E-273	6.21E-269	Ciliated
RABL2B	1.06	1.40E-271	3.71E-267	Ciliated
LOC100506844	1.13	1.72E-271	4.55E-267	Ciliated
C7orf57	0.82	7.04E-271	1.87E-266	Ciliated
TTC29	0.83	1.45E-266	3.84E-262	Ciliated
PIH1D2	0.86	3.33E-266	8.83E-262	Ciliated
CFAP221	1.02	3.97E-266	1.05E-261	Ciliated
C11orf16	0.91	5.85E-266	1.55E-261	Ciliated
ARMC4	0.83	1.34E-265	3.56E-261	Ciliated
C4orf22	0.76	8.71E-265	2.31E-260	Ciliated
TCTEX1D4	1.05	6.85E-264	1.81E-259	Ciliated
RFX3	1.03	2.35E-262	6.21E-258	Ciliated
WDR63	0.86	1.37E-261	3.63E-257	Ciliated
CALML4	1.09	5.61E-261	1.49E-256	Ciliated
C16orf93	0.93	8.54E-261	2.26E-256	Ciliated
RUVBL1	1.1	2.02E-260	5.35E-256	Ciliated
AKAP9	1.11	6.69E-259	1.77E-254	Ciliated
WDR66	0.92	1.71E-258	4.52E-254	Ciliated
CFAP57	0.78	1.91E-257	5.05E-253	Ciliated
CRIP1	1.38	2.87E-257	7.61E-253	Ciliated
C10orf95	0.86	1.28E-255	3.40E-251	Ciliated
CENPM	1.06	2.30E-255	6.09E-251	Ciliated
PIH1D3	0.81	3.47E-255	9.18E-251	Ciliated
LRRC71	0.75	5.03E-255	1.33E-250	Ciliated
CATIP	0.8	4.80E-254	1.27E-249	Ciliated
DNAH9	0.84	5.28E-253	1.40E-248	Ciliated
CCDC108	0.84	4.52E-251	1.20E-246	Ciliated
C17orf97	0.91	4.64E-251	1.23E-246	Ciliated
SPATA17	0.83	7.89E-251	2.09E-246	Ciliated
TMEM107	1	1.84E-250	4.88E-246	Ciliated
DNAJB13	0.87	5.27E-250	1.40E-245	Ciliated
SLC22A4	0.84	1.54E-249	4.09E-245	Ciliated
SARAF	0.94	1.36E-248	3.59E-244	Ciliated
DNAL1	0.99	4.96E-248	1.31E-243	Ciliated
AK7	0.81	3.25E-247	8.60E-243	Ciliated
IGFBP5	1.06	1.06E-244	2.80E-240	Ciliated
CH17-340M24.3	1.09	2.03E-244	5.38E-240	Ciliated
CLUAP1	1.07	2.69E-244	7.11E-240	Ciliated
DNAH2	0.75	2.67E-243	7.07E-239	Ciliated
TRAF3IP1	0.92	4.16E-243	1.10E-238	Ciliated
CSPP1	0.93	1.20E-242	3.18E-238	Ciliated
LRRC34	0.76	1.63E-242	4.33E-238	Ciliated
ENDOG	1.05	3.47E-242	9.20E-238	Ciliated
LKAAEAR1	0.95	8.38E-242	2.22E-237	Ciliated
IQCD	0.8	3.63E-241	9.62E-237	Ciliated
CFAP46	0.78	5.46E-241	1.45E-236	Ciliated
TCTN1	0.98	5.60E-241	1.48E-236	Ciliated
IFT43	1.04	1.19E-240	3.15E-236	Ciliated
NEK11	0.85	1.39E-240	3.69E-236	Ciliated
HMGN3	1.05	2.16E-240	5.73E-236	Ciliated
CCDC37	0.81	6.66E-240	1.76E-235	Ciliated
GPX4	0.91	4.97E-239	1.32E-234	Ciliated
ODF2L	1.06	1.82E-238	4.81E-234	Ciliated
ARHGAP18	1.13	4.45E-238	1.18E-233	Ciliated
MAP1A	0.82	1.05E-237	2.78E-233	Ciliated
EFHB	0.81	1.10E-237	2.90E-233	Ciliated
KIF21A	1.1	1.31E-237	3.48E-233	Ciliated
CDHR4	0.81	1.92E-237	5.10E-233	Ciliated
CFAP70	0.83	6.56E-237	1.74E-232	Ciliated
DNAJA4	1.03	1.65E-236	4.38E-232	Ciliated
METRN	0.99	7.81E-236	2.07E-231	Ciliated
MDH1B	0.75	1.10E-234	2.92E-230	Ciliated
HIPK1	1.01	2.16E-234	5.72E-230	Ciliated
C1orf158	0.73	9.05E-234	2.40E-229	Ciliated
C11orf74	0.99	1.22E-233	3.24E-229	Ciliated
AK9	0.88	3.09E-233	8.18E-229	Ciliated
CASC1	0.76	4.53E-233	1.20E-228	Ciliated
CC2D2A	0.88	5.49E-233	1.45E-228	Ciliated
RAB36	0.78	1.15E-232	3.05E-228	Ciliated
PCM1	1.01	1.70E-231	4.51E-227	Ciliated
HSPH1	1.11	2.37E-231	6.28E-227	Ciliated
ALDH3B1	1.11	3.60E-230	9.54E-226	Ciliated
RIBC1	0.77	1.12E-228	2.98E-224	Ciliated
C1orf189	0.97	1.56E-228	4.13E-224	Ciliated
IFT57	1.09	4.44E-228	1.18E-223	Ciliated
LXN	0.99	2.12E-227	5.61E-223	Ciliated
CYSTM1	1.02	4.32E-225	1.14E-220	Ciliated
DENND6B	0.83	1.97E-224	5.23E-220	Ciliated
SPATA33	0.83	2.14E-224	5.66E-220	Ciliated
GSTA1	1.78	9.08E-224	2.40E-219	Ciliated
C1orf87	0.68	1.50E-223	3.96E-219	Ciliated
FBXO15	0.72	6.26E-223	1.66E-218	Ciliated
NPHP1	0.85	1.10E-220	2.92E-216	Ciliated
HAGHL	0.78	1.37E-220	3.64E-216	Ciliated
CFAP44	0.88	1.45E-220	3.84E-216	Ciliated
LOC388780	0.78	3.16E-220	8.38E-216	Ciliated
H2AFJ	0.98	5.56E-217	1.47E-212	Ciliated
DNAH10	0.72	1.77E-214	4.70E-210	Ciliated
GRIN3B	0.65	6.10E-214	1.62E-209	Ciliated
STOX1	0.79	7.58E-213	2.01E-208	Ciliated
IFT88	0.81	1.76E-212	4.65E-208	Ciliated
TMEM232	0.72	2.67E-212	7.08E-208	Ciliated
CFAP54	0.7	3.00E-212	7.96E-208	Ciliated
SPAG1	0.92	1.90E-211	5.03E-207	Ciliated
NELL2	0.83	5.44E-211	1.44E-206	Ciliated
CLDN3	1.22	7.88E-211	2.09E-206	Ciliated
FAM179A	0.69	7.96E-210	2.11E-205	Ciliated
MAP9	0.91	1.19E-209	3.16E-205	Ciliated
SOD1	0.85	2.34E-209	6.21E-205	Ciliated
ADGB	0.63	1.25E-208	3.32E-204	Ciliated
KCNRG	0.73	1.83E-208	4.84E-204	Ciliated
MAP3K19	0.7	2.94E-208	7.78E-204	Ciliated
DPY30	0.95	4.09E-208	1.08E-203	Ciliated
METTL7A	1.02	1.46E-205	3.86E-201	Ciliated
CCDC96	0.71	2.69E-205	7.11E-201	Ciliated
GCC2	0.97	4.43E-205	1.17E-200	Ciliated
DEGS2	0.97	5.60E-205	1.48E-200	Ciliated
HSPBP1	0.93	9.51E-205	2.52E-200	Ciliated
LOC728392	0.68	1.90E-204	5.04E-200	Ciliated
C2orf73	0.64	5.14E-204	1.36E-199	Ciliated
PPP1R42	0.62	2.04E-203	5.41E-199	Ciliated
DLEC1	0.67	3.29E-203	8.72E-199	Ciliated
LOC101927416	0.73	6.88E-202	1.82E-197	Ciliated
DALRD3	0.86	2.24E-201	5.94E-197	Ciliated
RPA3	0.94	3.83E-201	1.02E-196	Ciliated
PDLIM4	1.07	5.15E-201	1.36E-196	Ciliated
TMEM67	0.71	3.15E-200	8.34E-196	Ciliated
NHLRC4	0.59	1.51E-199	4.01E-195	Ciliated
LRWD1	0.84	1.74E-199	4.61E-195	Ciliated
IFT172	0.87	5.38E-199	1.43E-194	Ciliated
CNTRL	0.82	1.36E-197	3.60E-193	Ciliated
LRRC73	0.65	4.53E-196	1.20E-191	Ciliated
FTO	0.94	1.59E-195	4.20E-191	Ciliated
TUSC3	0.91	3.70E-195	9.80E-191	Ciliated
FTO-IT1	0.92	5.86E-195	1.55E-190	Ciliated
C9orf9	0.79	7.71E-195	2.04E-190	Ciliated
FSD1L	0.59	2.09E-194	5.53E-190	Ciliated
PTGES3	0.85	5.14E-194	1.36E-189	Ciliated
RABL2A	0.75	5.83E-194	1.54E-189	Ciliated
KLHDC9	0.78	9.52E-194	2.52E-189	Ciliated
TSTD1	0.82	1.85E-193	4.90E-189	Ciliated
C4orf47	0.62	2.47E-192	6.54E-188	Ciliated
PCSK1N	1.03	2.85E-192	7.56E-188	Ciliated
ECT2L	0.63	4.41E-192	1.17E-187	Ciliated
S100A11	0.75	1.04E-191	2.75E-187	Ciliated
KIAA1407	0.7	1.95E-191	5.15E-187	Ciliated
PLAC8	1.18	7.59E-191	2.01E-186	Ciliated
EZR	0.87	5.20E-190	1.38E-185	Ciliated
RP1	0.95	2.94E-189	7.79E-185	Ciliated
ERGIC3	0.85	3.22E-189	8.54E-185	Ciliated
TSGA10	0.72	5.78E-189	1.53E-184	Ciliated
SPATA6	0.73	7.60E-189	2.01E-184	Ciliated
LOC102724094	0.77	2.34E-188	6.21E-184	Ciliated
CFAP69	0.64	1.10E-187	2.91E-183	Ciliated
CFAP36	0.87	9.00E-187	2.38E-182	Ciliated
KIF19	0.61	1.60E-186	4.24E-182	Ciliated
CCDC151	0.59	2.08E-186	5.52E-182	Ciliated
TNFRSF19	0.79	2.27E-185	6.00E-181	Ciliated
ACYP1	0.82	3.93E-185	1.04E-180	Ciliated
PGM2L1	0.89	4.68E-185	1.24E-180	Ciliated
MOK	0.72	6.12E-185	1.62E-180	Ciliated
PKIG	0.8	7.89E-185	2.09E-180	Ciliated
AGR3	1.06	9.80E-185	2.60E-180	Ciliated
PPP1R32	0.67	3.39E-184	8.97E-180	Ciliated
PFN2	0.88	1.19E-182	3.15E-178	Ciliated
OSBPL6	0.69	2.39E-182	6.33E-178	Ciliated
MAPRE3	0.8	6.69E-182	1.77E-177	Ciliated
CCDC103	0.55	8.34E-182	2.21E-177	Ciliated
ZDHHC1	0.79	9.49E-182	2.51E-177	Ciliated
CRNDE	0.88	1.38E-181	3.64E-177	Ciliated
C20orf96	0.72	2.75E-181	7.30E-177	Ciliated
SQLE	1.01	3.93E-181	1.04E-176	Ciliated
B9D2	0.79	1.81E-180	4.79E-176	Ciliated
C4orf48	0.89	3.17E-180	8.41E-176	Ciliated
FGF14	0.57	3.85E-180	1.02E-175	Ciliated
ARL3	0.88	2.41E-179	6.39E-175	Ciliated
C2orf81	0.63	1.26E-178	3.33E-174	Ciliated
WDR93	0.56	1.67E-178	4.42E-174	Ciliated
10-Mar	0.55	8.82E-178	2.34E-173	Ciliated
LZTFL1	0.74	1.61E-177	4.26E-173	Ciliated
UNC119B	0.68	2.53E-177	6.71E-173	Ciliated
CLMN	0.85	5.18E-177	1.37E-172	Ciliated
IQCK	0.72	7.36E-177	1.95E-172	Ciliated
MUC15	0.87	9.18E-177	2.43E-172	Ciliated
NUCB2	1.12	1.03E-176	2.74E-172	Ciliated
CCP110	0.78	2.38E-176	6.30E-172	Ciliated
IFT46	0.74	3.56E-176	9.42E-172	Ciliated
KIF3A	0.8	7.26E-176	1.92E-171	Ciliated
AZIN1	0.88	1.72E-175	4.57E-171	Ciliated
IFT81	0.79	4.27E-175	1.13E-170	Ciliated
LOC100506990	0.74	7.77E-175	2.06E-170	Ciliated
LCA5	0.73	4.63E-174	1.23E-169	Ciliated
ANKUB1	0.66	5.07E-174	1.34E-169	Ciliated
CLIC6	0.84	7.13E-174	1.89E-169	Ciliated
FUZ	0.77	8.73E-173	2.31E-168	Ciliated
GSTA3	0.57	9.19E-173	2.43E-168	Ciliated
WDR60	0.81	2.98E-172	7.88E-168	Ciliated
DMKN	0.85	6.86E-172	1.82E-167	Ciliated
TEKT4	0.58	1.49E-171	3.96E-167	Ciliated
KTN1	0.84	2.36E-171	6.25E-167	Ciliated
VWA3A	0.6	1.30E-170	3.45E-166	Ciliated
KCNE1	0.5	2.06E-170	5.46E-166	Ciliated
IQCA1	0.76	3.23E-170	8.56E-166	Ciliated
CHST9	0.92	4.90E-170	1.30E-165	Ciliated
TBCA	0.76	1.22E-169	3.22E-165	Ciliated
TTC26	0.6	1.41E-169	3.75E-165	Ciliated
COQ4	0.83	2.61E-169	6.91E-165	Ciliated
TTLL10	0.58	3.53E-169	9.35E-165	Ciliated
IQUB	0.56	4.49E-169	1.19E-164	Ciliated
DCDC5	0.57	8.88E-169	2.35E-164	Ciliated
EFHC2	0.61	1.96E-168	5.19E-164	Ciliated
CFAP74	0.49	2.17E-168	5.74E-164	Ciliated
ANKMY1	0.58	2.24E-168	5.92E-164	Ciliated
CCDC40	0.5	3.99E-168	1.06E-163	Ciliated
DZIP1L	0.55	1.40E-167	3.71E-163	Ciliated
PTPRN2	0.7	1.38E-166	3.65E-162	Ciliated
SPATA4	0.55	1.71E-166	4.54E-162	Ciliated
TMEM212	0.53	9.37E-166	2.48E-161	Ciliated
PROM1	0.98	1.44E-165	3.80E-161	Ciliated
SLFN13	0.59	2.54E-164	6.72E-160	Ciliated
CALM2	0.76	3.95E-164	1.05E-159	Ciliated
WDR34	0.87	8.54E-164	2.26E-159	Ciliated
PTPRT	0.61	9.38E-164	2.49E-159	Ciliated
PZP	0.53	1.07E-163	2.84E-159	Ciliated
OR7E47P	0.57	1.38E-163	3.65E-159	Ciliated
ATP2A2	0.85	4.47E-163	1.18E-158	Ciliated
CAPS2	0.6	6.70E-163	1.77E-158	Ciliated
IGFBP2	1	7.66E-163	2.03E-158	Ciliated
NGRN	0.79	1.80E-162	4.77E-158	Ciliated
MORN3	0.52	2.08E-162	5.51E-158	Ciliated
IFI6	1.39	4.49E-162	1.19E-157	Ciliated
ORAI2	0.65	4.71E-161	1.25E-156	Ciliated
CST6	0.8	3.26E-160	8.62E-156	Ciliated
UBAC1	0.77	4.60E-160	1.22E-155	Ciliated
ERICH6-AS1	0.54	7.06E-160	1.87E-155	Ciliated
ELK3	0.74	9.09E-160	2.41E-155	Ciliated
C15orf65	0.61	2.30E-159	6.10E-155	Ciliated
OCEL1	0.76	4.02E-159	1.07E-154	Ciliated
LOC100288798	0.62	1.31E-158	3.46E-154	Ciliated
MPC2	0.74	3.05E-158	8.08E-154	Ciliated
RPGRIP1L	0.58	4.80E-158	1.27E-153	Ciliated
AK8	0.53	5.52E-158	1.46E-153	Ciliated
MAP6	0.59	5.69E-158	1.51E-153	Ciliated
EFCAB2	0.67	5.71E-158	1.51E-153	Ciliated
PITPNM1	0.66	1.69E-157	4.47E-153	Ciliated
TMEM173	0.89	2.13E-157	5.64E-153	Ciliated
CKB	1.01	2.86E-157	7.56E-153	Ciliated
TBC1D8	0.73	8.36E-157	2.21E-152	Ciliated
BAIAP3	0.52	1.03E-155	2.74E-151	Ciliated
GAS8	0.65	1.63E-155	4.33E-151	Ciliated
FTH1	0.63	3.02E-155	8.01E-151	Ciliated
GSTA2	1.74	4.26E-155	1.13E-150	Ciliated
SMPD2	0.7	1.18E-154	3.11E-150	Ciliated
DYNC2LI1	0.71	2.31E-154	6.11E-150	Ciliated
SSB	0.81	3.87E-154	1.02E-149	Ciliated
RIBC2	0.52	5.54E-154	1.47E-149	Ciliated
TMEM45B	0.68	7.44E-154	1.97E-149	Ciliated
DNAH3	0.48	8.22E-154	2.18E-149	Ciliated
FAM104B	0.73	1.35E-153	3.57E-149	Ciliated
NWD1	0.67	2.26E-152	5.98E-148	Ciliated
DUSP18	0.66	4.63E-152	1.23E-147	Ciliated
TSNAXIP1	0.49	1.32E-151	3.48E-147	Ciliated
IQCE	0.57	1.58E-151	4.18E-147	Ciliated
RPGR	0.71	2.20E-151	5.83E-147	Ciliated
RBKS	0.6	2.88E-151	7.63E-147	Ciliated
KNDC1	0.56	3.75E-151	9.92E-147	Ciliated
VNN3	0.63	2.56E-150	6.77E-146	Ciliated
CEP290	0.76	1.08E-149	2.86E-145	Ciliated
CWH43	0.44	1.83E-149	4.85E-145	Ciliated
UCP2	0.9	1.98E-149	5.23E-145	Ciliated
FDXR	0.69	4.72E-149	1.25E-144	Ciliated
RSPH14	0.52	6.50E-148	1.72E-143	Ciliated
WDR49	0.63	7.64E-148	2.02E-143	Ciliated
SHROOM3	0.79	9.33E-148	2.47E-143	Ciliated
GIPR	0.52	3.13E-147	8.28E-143	Ciliated
NEK10	0.45	7.41E-147	1.96E-142	Ciliated
ENKD1	0.65	8.07E-147	2.14E-142	Ciliated
CD24	1.05	1.20E-146	3.17E-142	Ciliated
NME7	0.67	3.25E-146	8.60E-142	Ciliated
C22orf23	0.44	4.37E-146	1.16E-141	Ciliated
CFAP58	0.45	4.98E-146	1.32E-141	Ciliated
MORN1	0.52	1.32E-145	3.49E-141	Ciliated
CCL15	0.44	1.52E-145	4.03E-141	Ciliated
DRC7	0.5	4.22E-145	1.12E-140	Ciliated
NELFE	0.71	6.15E-145	1.63E-140	Ciliated
HN1L	0.76	2.58E-144	6.84E-140	Ciliated
CCDC34	0.6	3.52E-144	9.33E-140	Ciliated
APOBEC4	0.46	1.52E-143	4.02E-139	Ciliated
RBM38	0.65	2.53E-143	6.70E-139	Ciliated
HNRNPF	0.74	7.10E-143	1.88E-138	Ciliated
PIP	0.89	1.13E-142	2.99E-138	Ciliated
LRRC49	0.56	1.60E-142	4.24E-138	Ciliated
TSPAN3	0.75	1.81E-142	4.78E-138	Ciliated
TSPAN6	0.78	2.16E-142	5.73E-138	Ciliated
CCNA1	0.54	1.51E-141	4.00E-137	Ciliated
PPAP2C	0.79	5.27E-141	1.39E-136	Ciliated
SYNE2	0.78	8.07E-141	2.14E-136	Ciliated
HHLA2	0.43	1.28E-140	3.38E-136	Ciliated
UNC93B1	0.78	1.73E-140	4.58E-136	Ciliated
CBY1	0.71	1.74E-140	4.62E-136	Ciliated
MRPL23	0.71	8.90E-140	2.36E-135	Ciliated
KCNN3	0.46	2.11E-139	5.58E-135	Ciliated
TEX9	0.51	3.67E-139	9.72E-135	Ciliated
NRAV	0.55	7.97E-139	2.11E-134	Ciliated
TRIP13	0.64	2.16E-138	5.72E-134	Ciliated
C16orf46	0.5	2.51E-138	6.65E-134	Ciliated
PPP1R16A	0.72	2.79E-138	7.39E-134	Ciliated
IL5RA	0.43	3.86E-138	1.02E-133	Ciliated
DOC2A	0.5	7.47E-137	1.98E-132	Ciliated
ICA1L	0.55	9.79E-137	2.59E-132	Ciliated
DYX1C1	0.43	2.35E-136	6.21E-132	Ciliated
ENAH	0.71	4.14E-136	1.10E-131	Ciliated
CCDC88C	0.62	5.67E-136	1.50E-131	Ciliated
PLEKHB1	0.68	7.27E-136	1.93E-131	Ciliated
ARMC2	0.5	8.84E-136	2.34E-131	Ciliated
MAK	0.52	1.08E-135	2.86E-131	Ciliated
C20orf195	0.45	2.57E-134	6.82E-130	Ciliated
C19orf70	0.72	3.83E-134	1.01E-129	Ciliated
NEK1	0.58	1.20E-133	3.17E-129	Ciliated
PRUNE2	0.46	2.20E-133	5.83E-129	Ciliated
TTC16	0.38	5.69E-133	1.51E-128	Ciliated
CELF1	0.75	9.05E-133	2.40E-128	Ciliated
CLIC1	0.67	1.27E-132	3.37E-128	Ciliated
ANKRD54	0.58	1.38E-132	3.66E-128	Ciliated
FBXO36	0.51	4.85E-132	1.28E-127	Ciliated
ZNHIT2	0.61	1.77E-131	4.68E-127	Ciliated
CYB561	0.69	1.93E-131	5.11E-127	Ciliated
MORF4L2	0.69	2.08E-131	5.51E-127	Ciliated
LRP11	0.65	2.82E-131	7.47E-127	Ciliated
SERPINB6	0.72	9.05E-131	2.40E-126	Ciliated
CACNG6	0.42	9.31E-131	2.47E-126	Ciliated
SMIM5	0.52	1.63E-130	4.31E-126	Ciliated
JOSD2	0.75	8.66E-130	2.29E-125	Ciliated
TJP3	0.66	1.48E-129	3.92E-125	Ciliated
AKNA	0.55	1.59E-129	4.20E-125	Ciliated
FBXW9	0.56	2.59E-129	6.85E-125	Ciliated
NAT14	0.61	4.50E-129	1.19E-124	Ciliated
PRSS12	0.63	4.79E-129	1.27E-124	Ciliated
FAIM	0.68	7.15E-129	1.89E-124	Ciliated
TTC21A	0.47	1.05E-128	2.77E-124	Ciliated
SYNE1	0.71	1.33E-128	3.52E-124	Ciliated
DNER	0.43	3.87E-128	1.03E-123	Ciliated
PAPOLA	0.68	6.98E-128	1.85E-123	Ciliated
ZMYND12	0.44	1.15E-127	3.04E-123	Ciliated
LINC01571	0.48	1.51E-127	3.99E-123	Ciliated
ARHGAP39	0.49	1.57E-127	4.16E-123	Ciliated
